A,B,C,D
0.368,1,18,TRUE
0.545,0,32,FALSE
0.500,0,20,FALSE
0.533,1,23,FALSE
0.565,1,39,TRUE
0.348,1,21,TRUE
0.526,1,30,TRUE
0.526,0,25,FALSE
0.333,1,13,FALSE
0.444,0,19,TRUE
0.524,1,23,FALSE
0.500,0,29,FALSE
0.619,1,33,FALSE
0.476,0,25,FALSE
0.450,1,23,TRUE
0.519,0,30,TRUE
0.542,1,33,TRUE
0.556,1,29,TRUE
0.563,1,23,FALSE
0.550,0,25,FALSE
0.500,0,25,TRUE
0.429,0,20,TRUE
0.478,1,31,TRUE
0.600,0,32,FALSE
0.458,0,25,TRUE
0.500,0,28,TRUE
0.571,3,32,TRUE
0.400,0,20,TRUE
0.421,0,21,TRUE
0.375,1,23,FALSE
0.467,1,21,TRUE
0.300,0,13,FALSE
0.524,1,31,FALSE
0.412,0,17,FALSE
0.476,0,21,FALSE
0.474,1,31,FALSE
0.560,0,35,TRUE
0.750,0,31,FALSE
0.368,0,19,FALSE
0.520,0,31,TRUE
0.417,0,15,TRUE
0.563,0,21,TRUE
0.579,1,27,TRUE
0.500,0,29,TRUE
0.409,1,22,FALSE
0.400,0,15,TRUE
0.600,0,36,FALSE
0.421,0,18,FALSE
0.412,0,22,TRUE
0.375,0,17,FALSE
0.517,0,32,TRUE
0.588,2,32,FALSE
0.474,0,29,FALSE
0.630,1,40,FALSE
0.444,1,19,TRUE
0.667,0,34,TRUE
0.563,2,22,FALSE
0.571,0,37,FALSE
0.412,2,28,TRUE
0.545,0,29,FALSE
0.316,1,16,FALSE
0.467,1,20,TRUE
0.563,1,22,TRUE
0.368,0,19,FALSE
0.542,1,31,TRUE
0.429,2,29,FALSE
0.462,0,17,FALSE
0.412,0,22,FALSE
0.444,0,22,FALSE
0.462,0,18,FALSE
0.550,1,29,FALSE
0.478,1,26,TRUE
0.364,0,26,TRUE
0.563,0,22,TRUE
0.550,1,26,TRUE
0.533,0,27,FALSE
0.524,0,28,FALSE
0.467,1,18,TRUE
0.500,1,26,TRUE
0.450,0,26,TRUE
0.545,0,21,FALSE
0.375,0,19,FALSE
0.520,1,34,TRUE
0.375,0,17,TRUE
0.731,2,46,TRUE
0.545,0,34,TRUE
0.421,0,22,TRUE
0.412,1,21,TRUE
0.417,1,21,TRUE
0.632,1,27,FALSE
0.500,0,33,FALSE
0.500,2,28,FALSE
0.450,0,25,FALSE
0.600,0,28,FALSE
0.500,1,22,TRUE
0.650,1,30,TRUE
0.609,0,32,FALSE
0.333,1,19,FALSE
0.483,0,31,FALSE
0.538,0,19,TRUE
0.524,3,28,FALSE
0.583,2,19,FALSE
0.667,1,38,FALSE
0.385,0,18,FALSE
0.615,0,22,TRUE
0.571,1,25,FALSE
0.609,1,37,FALSE
0.500,0,10,FALSE
0.500,1,16,FALSE
0.545,0,19,FALSE
0.500,0,24,TRUE
0.500,0,25,TRUE
0.565,1,34,FALSE
0.444,0,25,FALSE
0.368,2,19,FALSE
0.455,1,26,FALSE
0.316,1,15,FALSE
0.619,0,30,FALSE
0.625,0,23,TRUE
0.571,0,10,TRUE
0.448,2,39,TRUE
0.400,0,30,FALSE
0.600,1,33,FALSE
0.391,0,23,FALSE
0.684,0,30,FALSE
0.467,2,20,TRUE
0.650,2,33,TRUE
0.600,3,30,FALSE
0.474,0,24,TRUE
0.385,2,18,TRUE
0.524,2,31,TRUE
0.684,0,34,FALSE
0.577,2,36,FALSE
0.560,1,39,FALSE
0.579,2,32,TRUE
0.520,2,37,TRUE
0.615,2,43,FALSE
0.467,1,26,FALSE
0.462,1,31,FALSE
0.542,3,32,FALSE
0.737,0,35,FALSE
0.448,1,34,TRUE
0.391,2,25,TRUE
0.450,1,25,FALSE
0.500,0,30,FALSE
0.522,1,29,TRUE
0.545,0,33,TRUE
0.667,2,33,TRUE
0.542,0,29,FALSE
0.579,0,27,FALSE
0.591,0,30,TRUE
0.333,0,26,TRUE
0.609,0,33,FALSE
0.333,1,21,FALSE
0.565,2,32,FALSE
0.556,0,26,FALSE
0.444,1,26,TRUE
0.613,1,56,FALSE
0.346,4,23,TRUE
0.720,1,50,FALSE
0.500,1,31,TRUE
0.579,2,30,FALSE
0.381,2,19,TRUE
0.577,2,36,TRUE
0.552,0,38,TRUE
0.586,1,38,TRUE
0.519,1,39,TRUE
0.565,0,38,FALSE
0.462,0,31,TRUE
0.412,2,20,FALSE
0.545,2,31,FALSE
0.381,0,19,TRUE
0.417,0,28,TRUE
0.455,0,26,FALSE
0.391,2,20,FALSE
0.368,1,17,FALSE
0.565,0,27,FALSE
0.545,0,30,TRUE
0.471,1,21,TRUE
0.524,1,39,TRUE
0.364,0,21,FALSE
0.667,1,31,FALSE
0.444,0,28,TRUE
0.462,0,29,TRUE
0.471,1,21,TRUE
0.409,0,23,TRUE
0.583,0,35,TRUE
0.560,1,33,FALSE
0.619,0,30,FALSE
0.542,1,33,FALSE
0.524,2,31,TRUE
0.652,0,34,FALSE
0.565,0,38,TRUE
0.500,1,28,TRUE
0.556,0,27,TRUE
0.667,1,47,TRUE
0.615,0,43,TRUE
0.526,0,25,FALSE
0.500,0,37,TRUE
0.321,0,24,FALSE
0.652,1,35,FALSE
0.615,0,48,FALSE
0.440,1,32,FALSE
0.381,2,23,FALSE
0.583,2,37,TRUE
0.552,1,46,FALSE
0.400,0,20,FALSE
0.500,0,41,TRUE
0.440,0,28,TRUE
0.579,0,26,TRUE
0.455,0,27,TRUE
0.650,0,38,FALSE
0.500,1,21,FALSE
0.250,0,13,FALSE
0.435,1,26,TRUE
0.545,0,19,FALSE
0.526,0,25,TRUE
0.368,2,18,TRUE
0.444,1,18,TRUE
0.519,1,37,TRUE
0.650,1,33,TRUE
0.316,0,16,FALSE
0.520,1,36,FALSE
0.625,0,21,TRUE
0.500,2,21,FALSE
0.579,0,27,TRUE
0.412,1,19,FALSE
0.684,2,35,FALSE
0.533,0,24,TRUE
0.565,3,30,TRUE
0.538,0,18,TRUE
0.647,1,32,TRUE
0.545,0,16,FALSE
0.600,1,28,FALSE
0.591,0,35,TRUE
0.737,0,37,FALSE
0.600,0,17,FALSE
0.474,0,26,FALSE
0.348,2,22,TRUE
0.667,1,18,TRUE
0.474,0,25,TRUE
0.583,1,21,TRUE
0.412,1,16,FALSE
0.480,0,31,FALSE
0.750,0,30,FALSE
0.519,1,33,TRUE
0.412,0,23,TRUE
0.435,0,25,FALSE
0.556,2,25,TRUE
0.650,2,40,TRUE
0.357,0,16,FALSE
0.538,0,17,FALSE
0.476,1,26,TRUE
0.500,1,34,TRUE
0.333,0,12,FALSE
0.458,0,32,FALSE
0.579,0,25,FALSE
0.471,1,22,FALSE
0.273,0,10,FALSE
0.600,0,25,FALSE
0.526,0,25,FALSE
0.409,0,24,FALSE
0.500,0,28,FALSE
0.526,0,25,FALSE
0.560,0,36,TRUE
0.600,1,23,TRUE
0.412,1,20,TRUE
0.526,1,24,TRUE
0.545,1,26,TRUE
0.450,1,25,FALSE
0.462,1,21,FALSE
0.600,0,25,FALSE
0.591,0,30,FALSE
0.632,1,28,TRUE
0.619,2,34,TRUE
0.500,1,31,FALSE
0.600,0,26,FALSE
0.500,0,19,FALSE
0.625,0,31,FALSE
0.625,0,29,FALSE
0.375,0,18,TRUE
0.652,1,40,FALSE
0.714,0,25,FALSE
0.467,1,20,FALSE
0.421,1,26,FALSE
0.571,0,23,TRUE
0.500,0,16,TRUE
0.765,0,40,TRUE
0.833,0,23,TRUE
0.500,0,25,TRUE
0.556,1,24,FALSE
0.636,0,33,FALSE
0.650,0,37,TRUE
0.550,1,28,TRUE