Rk,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,2024-05-15,27-074,DAL,,CHI,W (+8),1,38:16,10,23,.435,2,6,.333,3,3,1.000,0,3,3,7,3,0,2,4,25,18.1
2,2024-05-18,27-077,DAL,,CHI,L (-9),1,39:51,9,28,.321,6,14,.429,11,11,1.000,0,5,5,3,2,0,4,3,35,19.4
3,2024-05-21,27-080,DAL,@,ATL,L (-5),1,37:09,8,20,.400,1,8,.125,7,8,.875,1,2,3,2,3,0,4,2,24,13.7
4,2024-05-25,27-084,DAL,@,PHO,W (+15),1,38:09,11,24,.458,7,12,.583,11,12,.917,0,7,7,4,4,0,3,1,40,32.7
5,2024-05-26,27-085,DAL,@,LAS,W (+1),1,37:22,7,30,.233,0,8,.000,6,7,.857,1,4,5,5,0,1,2,1,20,5.1
6,2024-05-31,27-090,DAL,@,CON,L (-2),1,38:39,8,21,.381,3,8,.375,2,2,1.000,0,4,4,7,2,0,1,2,21,15.8
7,2024-06-02,27-092,DAL,@,MIN,L (-11),1,39:36,6,17,.353,2,5,.400,7,7,1.000,1,5,6,6,6,0,10,4,21,12.3
8,2024-06-05,27-095,DAL,,LVA,L (-14),1,37:15,9,23,.391,3,9,.333,10,10,1.000,1,3,4,7,4,0,6,5,31,21.0
9,2024-06-07,27-097,DAL,@,LAS,L (-9),1,38:23,10,28,.357,0,9,.000,2,2,1.000,0,1,1,4,4,0,3,2,22,9.7
10,2024-06-09,27-099,DAL,,PHO,L (-7),1,50:00,9,27,.333,3,11,.273,4,6,.667,2,5,7,10,4,0,3,3,25,18.6
11,2024-06-13,27-103,DAL,,SEA,L (-8),1,35:43,8,19,.421,5,9,.556,3,3,1.000,2,4,6,5,2,1,6,5,24,14.7
12,2024-06-15,27-105,DAL,,CON,L (-18),1,34:40,2,15,.133,1,6,.167,6,7,.857,2,1,3,5,1,0,1,5,11,4.1
13,2024-06-20,27-110,DAL,@,CHI,L (-11),1,38:11,10,24,.417,7,16,.438,4,4,1.000,2,1,3,0,3,0,4,4,31,17.3
14,2024-06-22,27-112,DAL,@,WAS,L (-28),1,33:38,3,11,.273,0,6,.000,0,1,.000,0,7,7,4,1,0,3,5,6,0.0
15,2024-06-23,27-113,DAL,@,WAS,L (-8),1,40:00,9,21,.429,5,10,.500,0,0,,1,6,7,3,2,0,1,2,23,16.7
16,2024-06-27,27-117,DAL,,MIN,W (+6),1,38:47,8,17,.471,5,8,.625,2,2,1.000,0,4,4,9,1,0,1,2,23,21.0
17,2024-06-29,27-119,DAL,@,SEA,L (-21),1,37:30,7,15,.467,6,10,.600,4,6,.667,0,5,5,4,4,0,3,1,24,20.4
18,2024-07-01,27-121,DAL,@,SEA,L (-24),1,38:37,6,18,.333,3,9,.333,6,6,1.000,2,4,6,3,5,0,3,0,21,17.5
19,2024-07-03,27-123,DAL,,PHO,L (-8),1,39:54,8,22,.364,3,10,.300,7,7,1.000,1,5,6,5,2,0,1,4,26,18.9
20,2024-07-05,27-125,DAL,,ATL,W (+3),1,38:43,6,16,.375,1,7,.143,6,8,.750,0,5,5,4,2,1,4,3,19,11.2
21,2024-07-07,27-127,DAL,@,LVA,L (-19),1,36:55,4,13,.308,2,6,.333,3,3,1.000,0,6,6,4,3,0,2,3,13,9.9
22,2024-07-10,27-130,DAL,@,PHO,L (-16),1,38:10,4,14,.286,2,8,.250,3,3,1.000,0,2,2,13,1,0,0,4,13,13.9
23,2024-07-13,27-133,DAL,,LAS,L (-6),1,37:53,2,15,.133,2,9,.222,6,6,1.000,1,2,3,4,2,2,5,5,12,2.8
24,2024-07-17,27-137,DAL,,IND,W (+8),1,39:40,8,21,.381,2,5,.400,6,7,.857,2,5,7,7,3,0,2,2,24,20.1
25,2024-08-16,27-167,DAL,,CON,L (-18),1,37:41,6,12,.500,3,6,.500,6,6,1.000,1,2,3,2,3,0,2,5,21,16.7
26,2024-08-20,27-171,DAL,@,NYL,L (-20),1,38:25,5,13,.385,3,7,.429,4,4,1.000,1,5,6,5,0,0,2,0,17,13.6
27,2024-08-22,27-173,DAL,@,NYL,L (-8),1,40:00,7,18,.389,2,9,.222,3,4,.750,2,4,6,8,2,2,3,2,19,16.6
28,2024-08-25,27-176,DAL,,LAS,W (+3),1,40:00,10,21,.476,4,12,.333,9,9,1.000,0,4,4,7,2,0,1,2,33,28.6
29,2024-08-27,27-178,DAL,,LVA,W (+3),1,40:00,7,17,.412,1,7,.143,5,5,1.000,0,5,5,6,0,1,4,5,20,11.3
30,2024-08-30,27-181,DAL,,MIN,W (+18),1,39:12,11,24,.458,3,9,.333,0,0,,1,3,4,8,1,1,1,1,25,20.1
31,2024-09-01,27-183,DAL,,IND,L (-7),1,39:38,12,25,.480,9,16,.563,1,1,1.000,1,7,8,3,1,0,2,2,34,24.4
32,2024-09-03,27-185,DAL,,WAS,L (-4),1,37:15,7,17,.412,2,9,.222,5,5,1.000,0,2,2,4,1,0,0,4,21,14.7
33,2024-09-06,27-188,DAL,@,ATL,L (-11),1,45:00,7,17,.412,3,8,.375,5,5,1.000,2,4,6,8,3,1,3,3,22,20.6
34,2024-09-08,27-190,DAL,@,CHI,L (-15),1,38:23,8,17,.471,1,5,.200,6,6,1.000,0,3,3,1,0,0,2,2,23,13.1
35,2024-09-10,27-192,DAL,,NYL,L (-14),1,35:47,8,16,.500,2,7,.286,5,6,.833,0,3,3,4,0,1,0,1,23,18.6
36,2024-09-12,27-194,DAL,,NYL,L (-32),1,33:34,3,13,.231,1,4,.250,4,4,1.000,0,1,1,4,2,0,2,2,11,5.4
37,2024-09-13,27-195,DAL,,SEA,L (-2),1,40:00,6,20,.300,2,6,.333,1,1,1.000,2,2,4,5,1,0,3,3,15,5.7
38,2024-09-15,27-197,DAL,@,IND,L (-1),1,38:01,10,17,.588,5,10,.500,2,3,.667,0,3,3,5,1,0,4,3,27,18.9